"AKR","店舗名","日付","曜日","天気","売上","売上目標","売上目標達成率","売上目標差分","昨年売上","売上昨対比","粗利","売上-FL","利益","コース売上","フード売上","ドリンク売上","アルコール売上","ソフトドリンク売上","ランチ売上","ディナー売上","出前売上","テイクアウト売上","ランチコース売上","ランチフード売上","ランチドリンク売上","ディナーコース売上","ディナーフード売上","ディナードリンク売上","客数","ランチ客数","ランチ組数","ディナー客数","ディナー組数","直接来店客数","予約来店客数","組数","直接来店組数","予約来店組数","リピート客率","リピート組率","客単価","ランチ客単価","ディナー客単価","FLコスト","FL率","仕入高","仕入率","理論原価高","理論原価率","人件費","人件費率","人件費率目標","人件費（Airシフト）","人時売上","人時生産性","1st D提供","F一品目提供","D提供遅れ","F提供遅れ","おすすめ成功"
"AKR1761659248","Niki・DINER","2026-03-14","土","曇","52610","0","0.0","52610","0","0.0","52610","52610","52610","0","40310","6790","0","6790","21080","31530","0","0","0","16010","2990","0","24300","3800","27","14","7","13","8","27","0","15","15","0","0.0","0.0","1948","1505","2425","0","0.0","0","0.0","15542","29.5","0","0.0","0.0","0","0","0","512","412","4","0","0"
"AKR1761659248","Niki・DINER","2026-03-13","金","曇","28847","0","0.0","28847","0","0.0","28847","28847","28847","0","24200","1080","0","1080","12987","15860","0","0","0","10860","0","0","13340","1080","16","7","6","9","3","16","0","9","9","0","0.0","0.0","1802","1855","1762","0","0.0","0","0.0","9072","31.4","0","0.0","0.0","0","0","0","381","319","1","0","0"
"AKR1761659248","Niki・DINER","2026-03-12","木","晴","49304","0","0.0","49304","0","0.0","49304","49304","49304","0","37404","3790","1200","2590","31394","17910","0","0","0","25724","0","0","11680","3790","23","14","8","9","6","23","0","14","14","0","0.0","0.0","2143","2242","1990","0","0.0","0","0.0","14972","30.3","0","0.0","0.0","0","0","0","437","478","2","0","0"
"AKR1761659248","Niki・DINER","2026-03-11","水","曇","39714","0","0.0","39714","0","0.0","39714","39714","39714","0","32834","780","780","0","22230","17484","0","0","0","17690","780","0","15144","0","19","11","9","8","7","19","0","16","16","0","0.0","0.0","2090","2020","2185","0","0.0","0","0.0","13357","33.6","0","0.0","0.0","0","0","0","290","481","1","0","0"
"AKR1761659248","Niki・DINER","2026-03-10","火","晴","38350","0","0.0","38350","0","0.0","38350","38350","38350","0","28770","2360","680","1680","35390","2960","0","0","0","25810","2360","0","2960","0","20","18","10","2","2","20","0","12","12","0","0.0","0.0","1917","1966","1480","0","0.0","0","0.0","12170","31.7","0","0.0","0.0","0","0","0","164","440","0","0","0"
"AKR1761659248","Niki・DINER","2026-03-09","月","晴","34430","0","0.0","34430","0","0.0","34430","34430","34430","0","28470","1210","680","530","23950","10480","0","0","0","20070","0","0","8400","1210","18","13","7","5","3","18","0","10","10","0","0.0","0.0","1912","1842","2096","0","0.0","0","0.0","10633","30.8","0","0.0","0.0","0","0","0","373","388","1","0","0"
"AKR1761659248","Niki・DINER","2026-03-08","日","晴","102930","0","0.0","102930","0","0.0","102930","102930","102930","0","83560","4950","3310","1640","74880","28050","0","0","0","62480","1840","0","21080","3110","53","42","21","11","8","51","2","29","28","1","0.0","0.0","1942","1782","2550","0","0.0","0","0.0","31912","31.0","0","0.0","0.0","0","0","0","161","375","0","0","0"
"AKR1761659248","Niki・DINER","2026-03-07","土","晴","56204","0","0.0","56204","0","0.0","56204","56204","56204","0","42504","6430","2210","4220","39689","16515","0","0","0","31009","2440","0","11495","3990","27","18","11","9","4","23","4","15","14","1","0.0","0.0","2081","2204","1835","0","0.0","0","0.0","16627","29.5","0","0.0","0.0","0","0","0","359","446","3","0","0"
"AKR1761659248","Niki・DINER","2026-03-06","金","曇","42124","0","0.0","42124","0","0.0","42124","42124","42124","0","34554","5170","4640","530","14260","27864","0","0","0","11860","0","0","22694","5170","16","8","7","8","6","16","0","13","13","0","0.0","0.0","2632","1782","3483","0","0.0","0","0.0","15078","35.7","0","0.0","0.0","0","0","0","172","415","1","0","0"
"AKR1761659248","Niki・DINER","2026-03-05","木","晴","24750","0","0.0","24750","0","0.0","24750","24750","24750","0","18870","2840","0","2840","5610","19140","0","0","0","3000","1780","0","15870","1060","14","5","3","9","4","14","0","7","7","0","0.0","0.0","1767","1122","2126","0","0.0","0","0.0","7044","28.4","0","0.0","0.0","0","0","0","208","365","2","0","0"
"AKR1761659248","Niki・DINER","2026-03-04","水","晴","19220","0","0.0","19220","0","0.0","19220","19220","19220","0","15110","530","0","530","11910","7310","0","0","0","9110","530","0","6000","0","10","6","4","4","2","10","0","6","6","0","0.0","0.0","1922","1985","1827","0","0.0","0","0.0","5966","31.0","0","0.0","0.0","0","0","0","94","403","0","0","0"
"AKR1761659248","Niki・DINER","2026-03-03","火","雨","24838","0","0.0","24838","0","0.0","24838","24838","24838","0","23178","0","0","0","18770","6068","0","0","0","17110","0","0","6068","0","13","9","4","4","3","13","0","7","7","0","0.0","0.0","1910","2085","1517","0","0.0","0","0.0","8591","34.5","0","0.0","0.0","0","0","0","0","353","0","0","0"
"AKR1761659248","Niki・DINER","2026-03-02","月","曇","22010","0","0.0","22010","0","0.0","22010","22010","22010","0","19090","0","0","0","18050","3960","0","0","0","16090","0","0","3000","0","11","9","6","2","1","11","0","7","7","0","0.0","0.0","2000","2005","1980","0","0.0","0","0.0","8521","38.7","0","0.0","0.0","0","0","0","0","346","0","0","0"
