"AKR","店舗名","日付","曜日","天気","売上","売上目標","売上目標達成率","売上目標差分","昨年売上","売上昨対比","粗利","売上-FL","利益","コース売上","フード売上","ドリンク売上","アルコール売上","ソフトドリンク売上","ランチ売上","ディナー売上","出前売上","テイクアウト売上","ランチコース売上","ランチフード売上","ランチドリンク売上","ディナーコース売上","ディナーフード売上","ディナードリンク売上","客数","ランチ客数","ランチ組数","ディナー客数","ディナー組数","直接来店客数","予約来店客数","組数","直接来店組数","予約来店組数","リピート客率","リピート組率","客単価","ランチ客単価","ディナー客単価","FLコスト","FL率","仕入高","仕入率","理論原価高","理論原価率","人件費","人件費率","人件費率目標","人件費（Airシフト）","人時売上","人時生産性","1st D提供","F一品目提供","D提供遅れ","F提供遅れ","おすすめ成功"
"AKR1761659248","Niki・DINER","2026-02-28","土","晴","129574","0","0.0","129574","0","0.0","129574","129574","129574","0","101974","12520","6620","5900","82054","47520","0","0","0","64524","7100","0","37450","5420","61","37","21","24","11","56","5","32","30","2","0.0","0.0","2124","2217","1980","0","0.0","0","0.0","52475","40.4","0","0.0","0.0","0","0","0","261","487","5","0","0"
"AKR1761659248","Niki・DINER","2026-02-27","金","曇","27280","0","0.0","27280","0","0.0","27280","27280","27280","0","23280","1160","0","1160","16480","10800","0","0","0","13890","580","0","9390","580","14","9","7","5","3","14","0","10","10","0","0.0","0.0","1948","1831","2160","0","0.0","0","0.0","10207","37.4","0","0.0","0.0","0","0","0","249","310","0","0","0"
"AKR1761659248","Niki・DINER","2026-02-26","木","晴","50538","0","0.0","50538","0","0.0","50538","50538","50538","0","36080","5638","2340","3298","33398","17140","0","0","0","22390","5638","0","13690","0","24","16","10","8","4","24","0","14","14","0","0.0","0.0","2105","2087","2142","0","0.0","0","0.0","19405","38.3","0","0.0","0.0","0","0","0","324","403","3","0","0"
"AKR1761659248","Niki・DINER","2026-02-25","水","曇","66370","0","0.0","66370","0","0.0","66370","66370","66370","0","55630","2120","1060","1060","42970","23400","0","0","0","35740","1010","0","19890","1110","34","22","12","12","6","34","0","18","18","0","0.0","0.0","1952","1953","1950","0","0.0","0","0.0","23977","36.1","0","0.0","0.0","0","0","0","259","479","1","0","0"
"AKR1761659248","Niki・DINER","2026-02-24","火","曇","24149","0","0.0","24149","0","0.0","24149","24149","24149","0","18959","2270","580","1690","10419","13730","0","0","0","7149","2270","0","11810","0","14","7","5","7","3","14","0","8","8","0","0.0","0.0","1724","1488","1961","0","0.0","0","0.0","9530","39.4","0","0.0","0.0","0","0","0","163","352","0","0","0"
"AKR1761659248","Niki・DINER","2026-02-23","月","晴","120780","0","0.0","120780","0","0.0","120780","120780","120780","0","97530","5990","2520","3470","94920","25860","0","0","0","74930","5460","0","22600","530","63","50","21","13","7","63","0","28","28","0","0.0","0.0","1917","1898","1989","0","0.0","0","0.0","46304","38.3","0","0.0","0.0","0","0","0","166","512","0","0","0"
"AKR1761659248","Niki・DINER","2026-02-22","日","晴","102323","0","0.0","102323","0","0.0","102323","102323","102323","0","74273","16130","12250","3880","38390","63933","0","0","0","30020","2240","0","44253","13890","64","19","11","45","11","64","0","22","22","0","0.0","0.0","1598","2020","1420","0","0.0","0","0.0","36776","35.9","0","0.0","0.0","0","0","0","250","436","4","0","0"
"AKR1761659248","Niki・DINER","2026-02-21","土","晴","103450","0","0.0","103450","0","0.0","103450","103450","103450","0","82050","9030","7730","1300","72660","30790","0","0","0","57320","6630","0","24730","2400","45","32","17","13","8","45","0","25","25","0","0.0","0.0","2298","2270","2368","0","0.0","0","0.0","38643","37.3","0","0.0","0.0","0","0","0","210","406","1","1","0"
"AKR1761659248","Niki・DINER","2026-02-20","金","曇","37807","0","0.0","37807","0","0.0","37807","37807","37807","0","31067","2990","1360","1630","22890","14917","0","0","0","17800","2210","0","13267","780","21","14","7","7","5","21","0","12","12","0","0.0","0.0","1800","1635","2131","0","0.0","0","0.0","15318","40.5","0","0.0","0.0","0","0","0","306","340","3","0","0"
"AKR1761659248","Niki・DINER","2026-02-19","木","晴","49701","0","0.0","49701","0","0.0","49701","49701","49701","0","38291","2780","0","2780","33811","15890","0","0","0","25281","2780","0","13010","0","30","21","13","9","4","30","0","17","17","0","0.0","0.0","1656","1610","1765","0","0.0","0","0.0","19530","39.2","0","0.0","0.0","0","0","0","195","416","0","0","0"
