"AKR","店舗名","日付","曜日","天気","売上","売上目標","売上目標達成率","売上目標差分","昨年売上","売上昨対比","粗利","売上-FL","利益","コース売上","フード売上","ドリンク売上","アルコール売上","ソフトドリンク売上","ランチ売上","ディナー売上","出前売上","テイクアウト売上","ランチコース売上","ランチフード売上","ランチドリンク売上","ディナーコース売上","ディナーフード売上","ディナードリンク売上","客数","ランチ客数","ランチ組数","ディナー客数","ディナー組数","直接来店客数","予約来店客数","組数","直接来店組数","予約来店組数","リピート客率","リピート組率","客単価","ランチ客単価","ディナー客単価","FLコスト","FL率","仕入高","仕入率","理論原価高","理論原価率","人件費","人件費率","人件費率目標","人件費（Airシフト）","人時売上","人時生産性","1st D提供","F一品目提供","D提供遅れ","F提供遅れ","おすすめ成功"
"AKR1761659248","Niki・DINER","2025-12-15","月","晴","44909","0","0.0","44909","0","0.0","44909","44909","44909","0","32909","5030","4500","530","39820","5089","0","0","0","28350","4500","0","4559","530","18","15","9","3","3","18","0","12","12","0","0.0","0.0","2494","2654","1696","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","97","422","0","0","0"
"AKR1761659248","Niki・DINER","2025-12-14","日","晴","103290","0","0.0","103290","0","0.0","103290","103290","103290","0","96230","7060","3240","3820","84640","18650","0","0","0","78160","6480","0","18070","580","49","40","21","9","4","49","0","25","25","0","0.0","0.0","2107","2116","2072","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","242","445","2","0","0"
"AKR1761659248","Niki・DINER","2025-12-13","土","晴","111370","0","0.0","111370","0","0.0","111370","111370","111370","0","103070","8300","5490","2810","70720","40650","0","0","0","65240","5480","0","37830","2820","54","28","15","26","14","54","0","29","29","0","0.0","0.0","2062","2525","1563","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","118","439","2","0","0"
"AKR1761659248","Niki・DINER","2025-12-12","金","晴","50760","0","0.0","50760","0","0.0","50760","50760","50760","0","43450","4520","2340","2180","24290","26470","0","0","0","20550","1430","0","22900","3090","23","12","5","11","6","23","0","11","11","0","0.0","0.0","2206","2024","2406","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","357","482","3","0","0"
"AKR1761659248","Niki・DINER","2025-12-11","木","晴","65370","0","0.0","65370","0","0.0","65370","65370","65370","0","58030","1640","580","1060","15520","49850","0","0","0","14810","0","0","43220","1640","29","9","5","20","10","29","0","15","15","0","0.0","0.0","2254","1724","2492","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","183","572","0","2","0"
"AKR1761659248","Niki・DINER","2025-12-10","水","晴","18970","0","0.0","18970","0","0.0","18970","18970","18970","0","16490","0","0","0","11430","7540","0","0","0","9950","0","0","6540","0","9","5","3","4","3","9","0","6","6","0","0.0","0.0","2107","2286","1885","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","0","393","0","0","0"
"AKR1761659248","Niki・DINER","2025-12-09","火","晴","23620","0","0.0","23620","0","0.0","23620","23620","23620","0","27440","2180","530","1650","20010","3610","0","0","0","15560","2180","0","11880","0","15","12","7","3","3","15","0","10","10","0","0.0","0.0","1574","1667","1203","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","130","332","0","0","0"
"AKR1761659248","Niki・DINER","2025-12-08","月","晴","27900","0","0.0","27900","0","0.0","27900","27900","27900","0","31680","3460","0","3460","16250","11650","0","0","0","22610","1230","0","9070","2230","13","8","6","5","4","13","0","10","10","0","0.0","0.0","2146","2031","2330","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","406","416","2","0","0"
"AKR1761659248","Niki・DINER","2025-12-07","日","晴","94420","0","0.0","94420","0","0.0","94420","94420","94420","0","92930","9160","6520","2640","73640","20780","0","0","0","68180","5460","0","24750","3700","44","32","17","12","8","44","0","25","25","0","0.0","0.0","2145","2301","1731","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","190","364","1","0","0"
"AKR1761659248","Niki・DINER","2025-12-06","土","晴","93110","0","0.0","93110","0","0.0","93110","93110","93110","0","88780","4330","2800","1530","49250","43860","0","0","0","46930","2320","0","41850","2010","47","27","14","20","10","47","0","24","24","0","0.0","0.0","1981","1824","2193","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","516","503","4","0","0"
"AKR1761659248","Niki・DINER","2025-12-05","金","晴","65410","0","0.0","65410","0","0.0","65410","65410","65410","0","56940","6880","3920","2960","36990","28420","0","0","0","29270","2560","0","27670","4320","29","17","12","12","8","29","0","20","20","0","0.0","0.0","2255","2175","2368","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","210","417","4","0","0"
"AKR1761659248","Niki・DINER","2025-12-04","木","晴","35440","0","0.0","35440","0","0.0","35440","35440","35440","0","29270","1940","1940","0","19720","15720","0","0","0","16290","1160","0","12980","780","24","9","4","15","9","24","0","13","13","0","0.0","0.0","1476","2191","1048","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","294","482","2","0","0"
"AKR1761659248","Niki・DINER","2025-12-03","水","晴","60200","0","0.0","60200","0","0.0","60200","60200","60200","0","53420","6440","5260","1180","30980","29220","0","0","0","27840","0","0","25580","6440","28","15","11","13","9","28","0","20","20","0","0.0","0.0","2150","2065","2247","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","187","504","0","0","0"
"AKR1761659248","Niki・DINER","2025-12-02","火","晴","25240","0","0.0","25240","0","0.0","25240","25240","25240","0","41150","780","780","0","20350","4890","0","0","0","16940","780","0","24210","0","18","10","6","8","6","18","0","12","12","0","0.0","0.0","1402","2035","611","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","222","333","0","0","0"
"AKR1761659248","Niki・DINER","2025-12-01","月","晴","34480","0","0.0","34480","0","0.0","34480","34480","34480","0","28470","3530","1160","2370","29190","5290","0","0","0","24860","2370","0","3610","1160","15","13","7","2","1","15","0","8","8","0","0.0","0.0","2298","2245","2645","0","0.0","0","0.0","0","0.0","0","0.0","0.0","0","0","0","332","491","2","0","0"
