"AKR","店舗名","日付","曜日","天気","売上","売上目標","売上目標達成率","売上目標差分","昨年売上","売上昨対比","粗利","売上-FL","利益","コース売上","フード売上","ドリンク売上","アルコール売上","ソフトドリンク売上","ランチ売上","ディナー売上","出前売上","テイクアウト売上","ランチコース売上","ランチフード売上","ランチドリンク売上","ディナーコース売上","ディナーフード売上","ディナードリンク売上","客数","ランチ客数","ランチ組数","ディナー客数","ディナー組数","直接来店客数","予約来店客数","組数","直接来店組数","予約来店組数","リピート客率","リピート組率","客単価","ランチ客単価","ディナー客単価","FLコスト","FL率","仕入高","仕入率","理論原価高","理論原価率","人件費","人件費率","人件費率目標","人件費（Airシフト）","人時売上","人時生産性","1st D提供","F一品目提供","D提供遅れ","F提供遅れ","おすすめ成功"
"AKR1761659248","Niki・DINER","2026-01-31","土","晴","39890","0","0.0","39890","0","0.0","39890","39890","39890","0","38150","1740","1740","0","15280","24610","0","0","0","15280","0","0","22870","1740","17","8","4","9","4","17","0","8","8","0","0.0","0.0","2346","1910","2734","0","0.0","0","0.0","14632","36.6","0","0.0","0.0","0","0","0","255","387","1","0","0"
"AKR1761659248","Niki・DINER","2026-01-30","金","晴","41680","0","0.0","41680","0","0.0","41680","41680","41680","0","35820","2380","1200","1180","15820","25860","0","0","0","14990","0","0","20830","2380","19","8","6","11","6","19","0","12","12","0","0.0","0.0","2193","1977","2350","0","0.0","0","0.0","11873","28.4","0","0.0","0.0","0","0","0","540","337","1","0","0"
"AKR1761659248","Niki・DINER","2026-01-29","木","曇","39320","0","0.0","39320","0","0.0","39320","39320","39320","0","32230","1430","780","650","25830","13490","0","0","0","22030","0","0","10200","1430","19","14","7","5","4","19","0","11","11","0","0.0","0.0","2069","1845","2698","0","0.0","0","0.0","11257","28.6","0","0.0","0.0","0","0","0","85","382","0","0","0"
"AKR1761659248","Niki・DINER","2026-01-28","水","晴","22280","0","0.0","22280","0","0.0","22280","22280","22280","0","19620","0","0","0","17070","5210","0","0","0","14410","0","0","5210","0","9","7","6","2","1","9","0","7","7","0","0.0","0.0","2475","2438","2605","0","0.0","0","0.0","6668","29.9","0","0.0","0.0","0","0","0","0","406","0","0","0"
"AKR1761659248","Niki・DINER","2026-01-27","火","晴","29360","0","0.0","29360","0","0.0","29360","29360","29360","0","21250","4320","580","3740","10880","18480","0","0","0","10010","0","0","11240","4320","21","6","5","15","9","21","0","14","14","0","0.0","0.0","1398","1813","1232","0","0.0","0","0.0","8102","27.5","0","0.0","0.0","0","0","0","375","352","4","0","0"
"AKR1761659248","Niki・DINER","2026-01-26","月","晴","44693","0","0.0","44693","0","0.0","44693","44693","44693","0","32963","6340","1200","5140","39713","4980","0","0","0","29633","5240","0","3330","1100","24","20","10","4","3","24","0","13","13","0","0.0","0.0","1862","1985","1245","0","0.0","0","0.0","11829","26.4","0","0.0","0.0","0","0","0","192","456","3","0","0"
"AKR1761659248","Niki・DINER","2026-01-25","日","晴","97598","0","0.0","97598","0","0.0","97598","97598","97598","0","89688","7910","4440","3470","73648","23950","0","0","0","67928","5720","0","21760","2190","44","34","20","10","8","44","0","28","28","0","0.0","0.0","2218","2166","2395","0","0.0","0","0.0","27529","28.2","0","0.0","0.0","0","0","0","112","360","0","0","0"
"AKR1761659248","Niki・DINER","2026-01-24","土","晴","76656","0","0.0","76656","0","0.0","76656","76656","76656","0","70726","5930","4820","1110","56336","20320","0","0","0","53006","3330","0","17720","2600","34","25","14","9","6","33","1","20","19","1","0.0","0.0","2254","2253","2257","0","0.0","0","0.0","21836","28.4","0","0.0","0.0","0","0","0","147","284","0","0","0"
"AKR1761659248","Niki・DINER","2026-01-23","金","晴","30860","0","0.0","30860","0","0.0","30860","30860","30860","0","25810","2320","2320","0","21930","8930","0","0","0","19200","0","0","6610","2320","14","10","6","4","2","14","0","8","8","0","0.0","0.0","2204","2193","2232","0","0.0","0","0.0","9341","30.2","0","0.0","0.0","0","0","0","303","358","1","0","0"
"AKR1761659248","Niki・DINER","2026-01-22","木","晴","11910","0","0.0","11910","0","0.0","11910","11910","11910","0","10050","1160","0","1160","7170","4740","0","0","0","5890","580","0","4160","580","6","3","3","3","1","6","0","4","4","0","0.0","0.0","1985","2390","1580","0","0.0","0","0.0","3118","26.1","0","0.0","0.0","0","0","0","101","369","0","0","0"
"AKR1761659248","Niki・DINER","2026-01-21","水","晴","37590","0","0.0","37590","0","0.0","37590","37590","37590","0","31350","2270","1160","1110","24680","12910","0","0","0","20370","1690","0","10980","580","17","10","8","7","5","17","0","13","13","0","0.0","0.0","2211","2468","1844","0","0.0","0","0.0","10538","28.0","0","0.0","0.0","0","0","0","152","361","0","0","0"
"AKR1761659248","Niki・DINER","2026-01-20","火","晴","22120","0","0.0","22120","0","0.0","22120","22120","22120","0","16490","2320","2320","0","13300","8820","0","0","0","9120","2320","0","7370","0","10","6","4","4","3","10","0","7","7","0","0.0","0.0","2212","2216","2205","0","0.0","0","0.0","6568","29.6","0","0.0","0.0","0","0","0","183","374","0","0","0"
"AKR1761659248","Niki・DINER","2026-01-19","月","晴","21810","0","0.0","21810","0","0.0","21810","21810","21810","0","17710","2240","580","1660","15800","6010","0","0","0","13130","1710","0","4580","530","9","6","5","3","2","8","1","7","6","1","0.0","0.0","2423","2633","2003","0","0.0","0","0.0","6190","28.3","0","0.0","0.0","0","0","0","154","247","0","0","0"
"AKR1761659248","Niki・DINER","2026-01-18","日","晴","65440","0","0.0","65440","0","0.0","65440","65440","65440","0","59110","6330","3540","2790","39860","25580","0","0","0","37070","2790","0","22040","3540","28","17","11","11","5","28","0","16","16","0","0.0","0.0","2337","2344","2325","0","0.0","0","0.0","18656","28.5","0","0.0","0.0","0","0","0","290","422","3","0","0"
"AKR1761659248","Niki・DINER","2026-01-17","土","晴","54480","0","0.0","54480","0","0.0","54480","54480","54480","0","51780","2700","1640","1060","51220","3260","0","0","0","48520","2700","0","3260","0","25","24","11","1","1","25","0","12","12","0","0.0","0.0","2179","2134","3260","0","0.0","0","0.0","14807","27.1","0","0.0","0.0","0","0","0","167","264","0","0","0"
"AKR1761659248","Niki・DINER","2026-01-16","金","晴","25424","0","0.0","25424","0","0.0","25424","25424","25424","0","17124","7820","6410","1410","21770","3654","0","0","0","13470","7820","0","3654","0","13","11","7","2","2","13","0","9","9","0","0.0","0.0","1955","1979","1827","0","0.0","0","0.0","6778","26.6","0","0.0","0.0","0","0","0","633","313","1","0","0"
"AKR1761659248","Niki・DINER","2026-01-15","木","晴","32604","0","0.0","32604","0","0.0","32604","32604","32604","0","26664","1730","0","1730","19880","12724","0","0","0","16140","1080","0","10524","650","13","8","6","5","4","13","0","10","10","0","0.0","0.0","2508","2485","2544","0","0.0","0","0.0","9188","28.1","0","0.0","0.0","0","0","0","229","352","1","0","0"
"AKR1761659248","Niki・DINER","2026-01-14","水","晴","16260","0","0.0","16260","0","0.0","16260","16260","16260","0","11550","1610","0","1610","16260","0","0","0","0","11550","1610","0","0","0","10","10","5","0","0","10","0","5","5","0","0.0","0.0","1626","1626","0","0","0.0","0","0.0","4358","26.8","0","0.0","0.0","0","0","0","88","455","0","0","0"
"AKR1761659248","Niki・DINER","2026-01-13","火","晴","38280","0","0.0","38280","0","0.0","38280","38280","38280","0","31510","1160","1160","0","30590","7690","0","0","0","25370","1160","0","6140","0","17","14","8","3","2","17","0","10","10","0","0.0","0.0","2251","2185","2563","0","0.0","0","0.0","11167","29.1","0","0.0","0.0","0","0","0","163","403","0","0","0"
"AKR1761659248","Niki・DINER","2026-01-12","月","晴","52000","0","0.0","52000","0","0.0","52000","52000","52000","0","42960","9040","4820","4220","43920","8080","0","0","0","38260","5660","0","4700","3380","24","21","11","3","2","24","0","13","13","0","0.0","0.0","2166","2091","2693","0","0.0","0","0.0","13816","26.5","0","0.0","0.0","0","0","0","165","346","1","0","0"
"AKR1761659248","Niki・DINER","2026-01-11","日","曇","128500","0","0.0","128500","0","0.0","128500","128500","128500","0","118310","10190","2920","7270","67120","61380","0","0","0","64950","2170","0","53360","8020","56","33","15","23","9","56","0","24","24","0","0.0","0.0","2294","2033","2668","0","0.0","0","0.0","35498","27.6","0","0.0","0.0","0","0","0","285","462","2","0","0"
